id,w,h,n_bandas,cabecera_y,principal_y,pie_y,marco_izq_der_sup_inf,logo,frente_x,espalda_x,recorte_frac,formato
AIM-P007-051.jpg,800,640,3,0.028-0.170,0.211-0.838,0.870-0.969,0/0/0/0,si,0.168-0.565,0.568-0.979,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-052.gif,700,560,3,0.025-0.173,0.207-0.836,0.868-0.971,0/0/0/0,si,0.169-0.560,0.563-0.976,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-053.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.567,0.570-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-054.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-055.gif,700,560,3,0.025-0.173,0.207-0.838,0.868-0.971,0/0/0/0,si,0.169-0.573,0.576-0.974,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-056.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.979,0.489,"(3, 1, 1, 1, 0)"
AIM-P007-057.jpg,700,560,3,0.029-0.171,0.211-0.839,0.871-0.970,0/0/0/0,si,0.167-0.569,0.571-0.976,0.489,"(3, 1, 1, 1, 0)"
AIM-P007-058.png,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P007-059.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.569,0.571-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P007-060.jpg,700,560,3,0.027-0.170,0.209-0.839,0.870-0.970,0/0/0/0,si,0.169-0.566,0.569-0.979,0.487,"(3, 1, 1, 1, 0)"
AIM-P008-001.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.564,0.567-0.976,0.492,"(3, 1, 1, 1, 0)"
AIM-P008-002.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P008-003.jpg,800,640,3,0.028-0.170,0.211-0.838,0.870-0.969,0/0/0/0,si,0.168-0.565,0.568-0.979,0.490,"(3, 1, 1, 1, 0)"
AIM-P008-004.jpg,700,560,3,0.027-0.170,0.209-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.979,0.488,"(3, 1, 1, 1, 0)"
AIM-P008-005.gif,700,562,3,0.014-0.162,0.203-0.852,0.883-0.986,0/0/0/0,si,0.153-0.566,0.569-0.987,0.456,"(3, 1, 1, 1, 0)"
AIM-P008-006.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.971,0.494,"(3, 1, 1, 1, 0)"
AIM-P008-007.jpg,4096,3277,3,0.028-0.171,0.207-0.839,0.871-0.969,0/0/0/0,si,0.166-0.562,0.562-0.975,0.489,"(3, 1, 1, 1, 0)"
AIM-P008-008.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.899,,0.108,"(3, 1, 1, 1, 0)"
AIM-P008-009.gif,700,560,3,0.025-0.173,0.207-0.841,0.868-0.971,0/0/0/0,si,0.031-0.206,0.223-0.981,0.395,"(3, 1, 1, 1, 0)"
AIM-P008-010.png,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P008-011.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.564,0.567-0.979,0.490,"(3, 1, 1, 1, 0)"
AIM-P008-012.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.566,0.569-0.977,0.491,"(3, 1, 1, 1, 0)"
AIM-P008-013.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.169-0.570,0.573-0.973,0.494,"(3, 1, 1, 1, 0)"
AIM-P008-014.png,700,567,3,0.000-0.150,0.194-0.861,0.894-0.998,70/70/56/56,si,0.143-0.570,0.573-0.999,0.427,"(3, 1, 1, 1, 4)"
AIM-P008-015.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.977,0.490,"(3, 1, 1, 1, 0)"
AIM-P008-016.jpg,4096,3277,3,0.028-0.171,0.211-0.839,0.871-0.969,0/0/0/0,si,0.166-0.566,0.567-0.979,0.489,"(3, 1, 1, 1, 0)"
AIM-P008-017.jpg,700,560,3,0.029-0.171,0.211-0.839,0.871-0.970,0/0/0/0,si,0.167-0.564,0.567-0.976,0.489,"(3, 1, 1, 1, 0)"
AIM-P008-018.png,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.566,0.569-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P008-019.gif,700,560,3,0.025-0.173,0.207-0.839,0.868-0.971,0/0/0/0,si,0.169-0.567,0.570-0.981,0.484,"(3, 1, 1, 1, 0)"
AIM-P008-020.jpg,700,560,3,0.027-0.170,0.211-0.838,0.870-0.968,0/0/0/0,si,0.167-0.567,0.570-0.973,0.493,"(3, 1, 1, 1, 0)"
AIM-P008-021.jpg,700,573,3,0.042-0.180,0.218-0.827,0.859-0.955,0/0/0/0,si,0.173-0.566,0.569-0.970,0.512,"(3, 1, 1, 1, 0)"
